Rank,Network,Network Type,Network Category,Program,Program/Genre Type,# of Episodes,Unique Authors,Unique Authors Share,Unique Authors/Episodes,Followers/Unique Authors,Tweets,Tweets Share,Tweets/Episodes,Tweets/Unique Authors,
215,FS1,Cable,Sports,Barrett-Jackson Automobile Auction,Sports non-event,1,14,0.00%,14,861,15,0.00%,15,1.07,
216,IFC,Cable,-,Grindhouse Presents: Death Proof,Movies,1,14,0.00%,14,426,15,0.00%,15,1.07,
217,DEST,Cable,-,Monsters and Mysteries in America,Series,1,12,0.00%,12,"1,859",14,0.00%,14,1.17,
218,WGNAMER,Cable,-,Rules of Engagement,Comedy Series,1,11,0.00%,11,211,11,0.00%,11,1.00,
219,SUNDANC,Cable,-,Alien 3,Movies,1,11,0.00%,11,414,12,0.00%,12,1.09,
220,SHOWB,Cable,Premium,Cockneys vs Zombies,Movies,1,11,0.00%,11,451,12,0.00%,12,1.09,
221,HUB,Cable,-,Step by Step,"Comedy Series, Drama Series",2,11,0.00%,6,330,13,0.00%,7,1.18,
222,H2,Cable,-,Prophets of Doom,Special Programs,1,10,0.00%,10,702,11,0.00%,11,1.10,
223,LIFE,Cable,-,Christmas in Paradise,Movies,1,10,0.00%,10,868,13,0.00%,13,1.30,
224,DXD,Cable,-,Wander Over Yonder,Comedy Series,1,9,0.00%,9,491,9,0.00%,9,1.00,
225,ACMAX,Cable,Premium,Kiss the Girls,Movies,1,9,0.00%,9,605,13,0.00%,13,1.44,
226,THMAX,Cable,Premium,Contraband,Movies,1,9,0.00%,9,339,9,0.00%,9,1.00,
227,NY1,Cable,News,The Call,Talk & News,1,9,0.00%,9,186,12,0.00%,12,1.33,
228,TRAV,Cable,-,America Declassified,Docs & Special Interests,1,9,0.00%,9,277,9,0.00%,9,1.00,
229,BIO,Cable,-,Flip This House,"Reality Series, Docs & Special Interests",1,8,0.00%,8,388,8,0.00%,8,1.00,
230,G4,Cable,-,Web Soup,Series,2,8,0.00%,4,373,8,0.00%,4,1.00,
231,MOMAX,Cable,Premium,The Negotiator,Movies,1,8,0.00%,8,691,8,0.00%,8,1.00,
232,TMCX,Cable,-,Born on the Fourth of July,Movies,1,7,0.00%,7,189,7,0.00%,7,1.00,
233,HALL,Cable,-,All I Want for Christmas,Movies,1,7,0.00%,7,231,7,0.00%,7,1.00,
234,SHOWB,Cable,Premium,Blubberella,Movies,1,7,0.00%,7,296,8,0.00%,8,1.14,
235,HDNETMV,Cable,-,Cliffhanger,Movies,1,7,0.00%,7,"1,895",8,0.00%,8,1.14,
236,CHILLER,Cable,-,The Wicked,Movies,1,6,0.00%,6,256,6,0.00%,6,1.00,
237,H2,Cable,-,Nostradamus Effect,"Docs & Special Interests, Sci-Fi Series",1,6,0.00%,6,374,7,0.00%,7,1.17,
238,CNBCWLD,Cable,News,The Call,Series,1,6,0.00%,6,532,6,0.00%,6,1.00,
239,SCIENCE,Cable,-,Mega Shredders,Reality Series,2,6,0.00%,3,186,7,0.00%,4,1.17,
240,FXM,Cable,-,Aliens vs. Predator: Requiem,Movies,1,6,0.00%,6,124,7,0.00%,7,1.17,
241,FSS,Cable,Sports,Stars Live,Sports non-event,1,5,0.00%,5,"2,583",5,0.00%,5,1.00,
242,OMAX,Cable,Premium,Reality Bites,Movies,1,5,0.00%,5,582,5,0.00%,5,1.00,
243,ENCSUS,Cable,Premium,Hatchet,Movies,1,5,0.00%,5,686,5,0.00%,5,1.00,
244,CSNCA,Cable,Sports,Raiders Report,Talk & News,1,5,0.00%,5,"2,960",5,0.00%,5,1.00,
245,BIGTENO,Cable,Sports,B1G Football Game of the Week,Sports non-event,1,5,0.00%,5,404,6,0.00%,6,1.20,
246,SMITH,Cable,-,Shackleton's Frozen Hell,Special Programs,1,5,0.00%,5,"2,124",5,0.00%,5,1.00,
247,TMC,Cable,-,Between Us,Movies,1,5,0.00%,5,400,5,0.00%,5,1.00,
248,FSNO4,Cable,Sports,Wild Live,Sports non-event,1,5,0.00%,5,"2,188",5,0.00%,5,1.00,
249,REELZ,Cable,-,Magnum Force,Movies,1,5,0.00%,5,991,6,0.00%,6,1.20,
250,DJCH,Cable,-,Special Agent Oso,"Comedy Series, Docs & Special Interests, Children & Family",1,5,0.00%,5,"1,008",6,0.00%,6,1.20,
