Date/Time,Lat,Lon,Base
5/12/14 10:46,40.7233,-74.0062,B02512
5/6/14 10:46,40.763,-73.9781,B02512
5/7/14 10:48,40.7822,-73.9599,B02512
5/10/14 10:53,40.6916,-73.9677,B02512
5/23/14 10:54,40.7577,-73.9694,B02512
6/26/14 10:55,40.7668,-73.9789,B02512
7/2/14 10:58,40.7741,-73.9629,B02512
6/22/14 10:59,40.7271,-74.0058,B02512
5/20/14 10:59,40.7072,-74.0049,B02512
5/31/14 11:01,40.7412,-73.9964,B02512
6/29/14 11:01,40.7883,-74.0456,B02512
5/13/14 11:01,40.7883,-74.0456,B02512
5/27/14 11:02,40.7568,-73.9721,B02512
5/31/14 11:02,40.7624,-73.9728,B02512
4/7/14 11:02,40.7457,-73.9916,B02512
6/1/14 11:03,40.7863,-73.9774,B02512
5/3/14 11:04,40.7593,-73.9721,B02512
5/25/14 11:05,40.7398,-73.9912,B02512
6/7/14 11:06,40.8275,-74.0468,B02512
4/6/14 11:06,40.8275,-74.0468,B02512
5/2/14 11:06,40.7686,-73.9658,B02512
5/30/14 11:09,40.7566,-73.9765,B02512
6/16/14 11:11,40.7103,-73.9846,B02512
4/7/14 11:12,40.7414,-73.9902,B02512
5/1/14 11:13,40.7439,-73.9899,B02512
5/2/14 11:14,40.7619,-73.973,B02512
6/11/14 11:15,40.7201,-74.0041,B02512
4/2/14 11:16,40.7329,-73.9913,B02512
4/21/14 11:16,40.7582,-73.9815,B02512
6/1/14 11:17,40.7747,-73.9584,B02512
6/28/14 11:17,40.7775,-73.9612,B02512
5/21/14 11:17,40.773,-73.9802,B02512
4/13/14 11:18,40.7392,-73.9991,B02512
4/2/14 11:20,40.7368,-73.9958,B02512
4/27/14 11:21,40.8052,-73.9662,B02512
6/27/14 11:22,40.7205,-74.0031,B02512
6/2/14 11:22,40.7633,-73.9829,B02512
4/22/14 11:24,40.6922,-73.9441,B02512
4/26/14 11:25,40.7476,-73.9969,B02512
6/25/14 11:28,40.7707,-73.9815,B02512
5/4/14 11:33,40.7257,-73.9972,B02512
4/8/14 11:33,40.7611,-73.9754,B02512
5/27/14 11:34,40.7035,-74.0107,B02512
6/13/14 11:34,40.7591,-73.996,B02512
4/15/14 11:35,40.7419,-74.0036,B02512
6/29/14 11:37,40.755,-73.9746,B02512
6/24/14 11:39,40.7472,-73.9863,B02512
6/19/14 11:40,40.7548,-73.9847,B02512
6/29/14 11:41,40.7797,-73.9762,B02512
5/9/14 11:41,40.7323,-74.0076,B02512
5/15/14 11:42,40.7741,-73.8726,B02512
5/8/14 11:43,40.7074,-74.0172,B02512
6/26/14 11:44,40.6334,-73.9954,B02512
7/4/14 11:45,40.71,-74.0114,B02512
5/6/14 11:45,40.7386,-73.9897,B02512
6/21/14 11:47,40.7095,-74.0156,B02512
4/14/14 11:47,40.7024,-74.0133,B02512
6/17/14 11:47,40.7581,-73.9619,B02512
4/3/14 11:48,40.7685,-73.8625,B02512
6/5/14 11:50,40.7389,-73.9874,B02512
5/2/14 11:53,40.7736,-73.8716,B02512
6/26/14 11:54,40.7154,-74.0163,B02512
6/12/14 11:59,40.7599,-73.9804,B02512
5/14/14 11:59,40.7559,-73.9874,B02512
5/12/14 12:02,40.7852,-74.022,B02512
5/17/14 12:02,40.7852,-74.022,B02512
5/8/14 12:04,40.6878,-74.1817,B02512
6/11/14 12:07,40.6864,-73.9747,B02512
6/23/14 12:10,40.8289,-73.9451,B02512
4/10/14 12:10,40.8289,-73.9451,B02512
5/23/14 12:13,40.7672,-73.9682,B02512
4/28/14 12:14,40.7498,-73.9816,B02512
5/6/14 12:15,40.6751,-73.8016,B02512
5/26/14 12:16,40.7544,-73.9692,B02512
