,zip,primary_city,county,state,County#,ZCTA5CE10,area-sqm
791,52346,VAN HORNE,Benton,IA,6,52346,134845571
792,52347,VICTOR,Iowa,IA,48,52347,166647034
793,52348,VINING,Tama,IA,86,52348,2376982
794,52349,VINTON,Benton,IA,6,52349,382672144
795,52351,WALFORD,Benton,IA,6,52351,2136430
796,52352,WALKER,Linn,IA,57,52352,205022618
797,52353,WASHINGTON,Washington,IA,92,52353,395338718
798,52354,WATKINS,Benton,IA,6,52354,76593832
799,52355,WEBSTER,Keokuk,IA,54,52355,95209770
800,52356,WELLMAN,Washington,IA,92,52356,232407800
801,52358,WEST BRANCH,Cedar,IA,16,52358,200939529
802,52359,WEST CHESTER,Washington,IA,92,52359,38168572
803,52361,WILLIAMSBURG,Iowa,IA,48,52361,330197198
804,52362,WYOMING,Jones,IA,53,52362,157429942
805,52401,CEDAR RAPIDS,Linn,IA,57,52401,3464505
806,52402,CEDAR RAPIDS,Linn,IA,57,52402,36420817
807,52403,CEDAR RAPIDS,Linn,IA,57,52403,69523743
808,52404,CEDAR RAPIDS,Linn,IA,57,52404,142933490
809,52405,CEDAR RAPIDS,Linn,IA,57,52405,38493180
810,52411,CEDAR RAPIDS,Linn,IA,57,52411,44635019
811,52501,OTTUMWA,Wapello,IA,90,52501,591297871
812,52530,AGENCY,Wapello,IA,90,52530,36986236
813,52531,ALBIA,Monroe,IA,68,52531,563107904
814,52533,BATAVIA,Jefferson,IA,51,52533,227778322
815,52534,BEACON,Mahaska,IA,62,52534,1012395
816,52535,BIRMINGHAM,Van Buren,IA,89,52535,149696508
817,52536,BLAKESBURG,Wapello,IA,90,52536,160133711
818,52537,BLOOMFIELD,Davis,IA,26,52537,900130186
819,52540,BRIGHTON,Jefferson,IA,51,52540,257681662
820,52542,CANTRIL,Van Buren,IA,89,52542,117166206
821,52543,CEDAR,Mahaska,IA,62,52543,53398057
822,52544,CENTERVILLE,Appanoose,IA,4,52544,355984819
823,52548,CHILLICOTHE,Wapello,IA,90,52548,622729
824,52549,CINCINNATI,Appanoose,IA,4,52549,113382459
825,52550,DELTA,Keokuk,IA,54,52550,100697091
826,52551,DOUDS,Van Buren,IA,89,52551,151969068
827,52552,DRAKESVILLE,Davis,IA,26,52552,151883138
828,52553,EDDYVILLE,Wapello,IA,90,52553,218424094
829,52554,ELDON,Wapello,IA,90,52554,94705759
830,52555,EXLINE,Appanoose,IA,4,52555,64737097
831,52556,FAIRFIELD,Jefferson,IA,51,52556,458484550
832,52557,FAIRFIELD,Jefferson,IA,51,52557,116099
833,52560,FLORIS,Davis,IA,26,52560,91932554
834,52561,FREMONT,Mahaska,IA,62,52561,90172828
835,52563,HEDRICK,Keokuk,IA,54,52563,299151430
836,52565,KEOSAUQUA,Van Buren,IA,89,52565,307637735
837,52566,KIRKVILLE,Wapello,IA,90,52566,2692350
838,52567,LIBERTYVILLE,Jefferson,IA,51,52567,73121919
839,52569,MELROSE,Monroe,IA,68,52569,249170073
840,52570,MILTON,Van Buren,IA,89,52570,177637484
841,52571,MORAVIA,Appanoose,IA,4,52571,276402554
842,52572,MOULTON,Appanoose,IA,4,52572,252233684
843,52573,MOUNT STERLING,Van Buren,IA,89,52573,74630386
844,52574,MYSTIC,Appanoose,IA,4,52574,109572946
845,52576,OLLIE,Keokuk,IA,54,52576,117180743
846,52577,OSKALOOSA,Mahaska,IA,62,52577,415772496
847,52580,PACKWOOD,Jefferson,IA,51,52580,98765465
848,52581,PLANO,Appanoose,IA,4,52581,102818704
849,52583,PROMISE CITY,Wayne,IA,93,52583,120716306
850,52584,PULASKI,Davis,IA,26,52584,58551231
851,52585,RICHLAND,Keokuk,IA,54,52585,145900379
852,52586,ROSE HILL,Mahaska,IA,62,52586,122508394
853,52588,SELMA,Van Buren,IA,89,52588,26887357
854,52590,SEYMOUR,Wayne,IA,93,52590,194526072
855,52591,SIGOURNEY,Keokuk,IA,54,52591,327849389
856,52593,UDELL,Appanoose,IA,4,52593,42505876
857,52594,UNIONVILLE,Appanoose,IA,4,52594,121987222
858,52595,UNIVERSITY PARK,Mahaska,IA,62,52595,1193986
859,52601,BURLINGTON,Des Moines,IA,29,52601,312025320
860,52619,ARGYLE,Lee,IA,56,52619,95322544
861,52620,BONAPARTE,Van Buren,IA,89,52620,139397291
862,52621,CRAWFORDSVILLE,Washington,IA,92,52621,109582868
863,52623,DANVILLE,Des Moines,IA,29,52623,151439917
864,52624,DENMARK,Lee,IA,56,52624,1656465
865,52625,DONNELLSON,Lee,IA,56,52625,285245058
866,52626,FARMINGTON,Van Buren,IA,89,52626,247437264
867,52627,FORT MADISON,Lee,IA,56,52627,188414662
868,52630,HILLSBORO,Henry,IA,44,52630,109946731
869,52632,KEOKUK,Lee,IA,56,52632,140470022
870,52635,LOCKRIDGE,Jefferson,IA,51,52635,112512335
871,52637,MEDIAPOLIS,Des Moines,IA,29,52637,172041910
872,52638,MIDDLETOWN,Des Moines,IA,29,52638,88521308
873,52639,MONTROSE,Lee,IA,56,52639,117469873
874,52640,MORNING SUN,Louisa,IA,58,52640,188643645
875,52641,MOUNT PLEASANT,Henry,IA,44,52641,551763610
876,52644,MOUNT UNION,Henry,IA,44,52644,111080445
877,52645,NEW LONDON,Henry,IA,44,52645,185650036
878,52646,OAKVILLE,Louisa,IA,58,52646,155005489
879,52647,OLDS,Henry,IA,44,52647,911591
880,52649,SALEM,Henry,IA,44,52649,119399466
881,52650,SPERRY,Des Moines,IA,29,52650,104495885
882,52651,STOCKPORT,Van Buren,IA,89,52651,156669871
883,52653,WAPELLO,Louisa,IA,58,52653,312475210
884,52654,WAYLAND,Henry,IA,44,52654,136065742
885,52655,WEST BURLINGTON,Des Moines,IA,29,52655,42564530
886,52656,WEST POINT,Lee,IA,56,52656,247274743
887,52657,SAINT PAUL,Lee,IA,56,52657,494762
888,52658,WEVER,Lee,IA,56,52658,131240990
889,52659,WINFIELD,Henry,IA,44,52659,159819459
890,52660,YARMOUTH,Des Moines,IA,29,52660,57367543
891,52701,ANDOVER,Clinton,IA,23,52701,1643828
892,52720,ATALISSA,Muscatine,IA,70,52720,110127460
893,52721,BENNETT,Cedar,IA,16,52721,108698097
894,52722,BETTENDORF,Scott,IA,82,52722,73161625
895,52726,BLUE GRASS,Scott,IA,82,52726,94823134
896,52727,BRYANT,Clinton,IA,23,52727,63081901
897,52728,BUFFALO,Scott,IA,82,52728,5764558
898,52729,CALAMUS,Clinton,IA,23,52729,108881384
899,52730,CAMANCHE,Clinton,IA,23,52730,101243411
900,52731,CHARLOTTE,Clinton,IA,23,52731,136590407
901,52732,CLINTON,Clinton,IA,23,52732,310704633
902,52737,COLUMBUS CITY,Louisa,IA,58,52737,607264
903,52738,COLUMBUS JUNCTION,Louisa,IA,58,52738,323191180
904,52739,CONESVILLE,Muscatine,IA,70,52739,89211035
905,52742,DE WITT,Clinton,IA,23,52742,304142776
906,52745,DIXON,Scott,IA,82,52745,74381611
907,52746,DONAHUE,Scott,IA,82,52746,68807314
908,52747,DURANT,Cedar,IA,16,52747,56094151
909,52748,ELDRIDGE,Scott,IA,82,52748,107004915
910,52749,FRUITLAND,Muscatine,IA,70,52749,5218220
911,52750,GOOSE LAKE,Clinton,IA,23,52750,78435746
912,52751,GRAND MOUND,Clinton,IA,23,52751,129085616
913,52752,GRANDVIEW,Louisa,IA,58,52752,984227
914,52753,LE CLAIRE,Scott,IA,82,52753,68492183
915,52754,LETTS,Muscatine,IA,70,52754,186005712
916,52755,LONE TREE,Johnson,IA,52,52755,157930258
917,52756,LONG GROVE,Scott,IA,82,52756,111107641
918,52757,LOW MOOR,Clinton,IA,23,52757,3069924
919,52758,MC CAUSLAND,Scott,IA,82,52758,1745891
920,52760,MOSCOW,Muscatine,IA,70,52760,58900339
921,52761,MUSCATINE,Muscatine,IA,70,52761,482973608
922,52765,NEW LIBERTY,Scott,IA,82,52765,78185471
923,52766,NICHOLS,Muscatine,IA,70,52766,119401548
924,52767,PLEASANT VALLEY,Scott,IA,82,52767,3354642
925,52768,PRINCETON,Scott,IA,82,52768,89481384
926,52769,STOCKTON,Muscatine,IA,70,52769,106726313
927,52769,STOCKTON,Muscatine,IA,70,52769,106726313
928,52772,TIPTON,Cedar,IA,16,52772,342328096
929,52773,WALCOTT,Scott,IA,82,52773,145837805
930,52774,WELTON,Clinton,IA,23,52774,728977
931,52776,WEST LIBERTY,Muscatine,IA,70,52776,219678908
932,52777,WHEATLAND,Clinton,IA,23,52777,139946616
933,52778,WILTON,Muscatine,IA,70,52778,215972375
934,52801,DAVENPORT,Scott,IA,82,52801,1359908
935,52802,DAVENPORT,Scott,IA,82,52802,29294412
936,52803,DAVENPORT,Scott,IA,82,52803,14068035
937,52804,DAVENPORT,Scott,IA,82,52804,88861422
938,52806,DAVENPORT,Scott,IA,82,52806,79448284
939,52807,DAVENPORT,Scott,IA,82,52807,76469440
