,Zip Code,Predicted Total Sales,Predicted Dollar/liter,Store Count,Area (sqkm),Stores per sqkm,Zip Sales - Total,Dollar per liter
1388,50153,71797.7917461,9.82324906101,,,,,
1389,50154,178316.396956,10.4785287557,,,,,
1390,50155,9966.72512633,1.7580244116,,,,,
1391,50156,465119.451867,13.3622223822,1.0,238.724015,0.00418893758971,102797.64,12.39254405
1403,50157,262901.968903,10.0443357972,,,,,
1404,50158,1628804.15359,14.1062400021,12.0,548.346934,0.0218839556783,1659464.15,14.3360300684
1518,50161,155173.024107,11.0404683936,1.0,211.812219,0.00472116294669,25944.0,11.122829582
1528,50162,264428.460887,11.9449364938,1.0,132.120698,0.00756883679195,2670.3,12.1102040816
1531,50164,274386.968097,12.6566580723,,,,,
1532,50165,-2097.98849974,0.515876751788,,,,,
1533,50166,151385.65105,10.3717033783,,,,,
1534,50167,210304.48012,12.6623450743,,,,,
1535,50168,237343.6498,10.2064934061,,,,,
1536,50169,370895.146553,13.2109072704,,,,,
1537,50171,15638.4335372,2.42905559197,3.0,281.675684,0.0106505466052,285163.52,13.7104437713
1571,50173,-152162.993225,15.2815989942,,,,,
1572,50174,249467.340143,10.7949363501,,,,,
1573,50201,797702.312246,13.0929956791,5.0,300.453642,0.0166415023852,457930.08,12.1353558481
1629,50206,31874.2163102,-9.13866017108,,,,,
1630,50207,230222.876818,10.7179498522,1.0,366.588282,0.00272785587838,14904.72,14.81950783
1639,50208,1840029.56904,12.7577535756,6.0,426.046663,0.0140829644287,1662235.08,12.5863053106
1705,50211,457599.50466,13.5397971947,5.0,147.182178,0.0339715043488,691612.08,13.1441805518
1761,50212,526720.254948,12.9330091258,2.0,352.230522,0.00567809963953,86184.12,12.482853915
1781,50213,570141.339112,13.1622445252,6.0,543.975469,0.0110299091447,784683.12,13.8998086897
1843,50214,234460.932563,9.75518393573,,,,,
1844,50216,388076.358945,15.3865159708,2.0,145.699881,0.0137268471757,233752.32,12.5754422208
1868,50217,-36507.4665475,14.1340710634,,,,,
1869,50218,70049.7300187,5.155885579,,,,,
1870,50219,1152533.24523,12.9782408731,3.0,317.144262,0.0094594175568,1144955.16,14.1610114401
1906,50222,-268919.572194,19.1419126518,,,,,
1907,50223,-61198.7174092,23.0011278446,,,,,
1908,50225,-10865.4944036,-16.7063764817,1.0,217.246336,0.0046030695772,82937.52,12.0009376465
1920,50226,370709.825123,12.5517962779,3.0,109.873855,0.0273040387998,333032.53,12.5135373479
1951,50227,-576856.206872,12.0911476216,,,,,
1952,50228,308042.767498,12.3056453991,1.0,180.367188,0.00554424566402,28496.71,14.5295008413
1963,50229,291373.949126,9.27191091531,,,,,
1964,50231,525950.089067,13.3074784374,,,,,
1965,50232,101488.772866,7.47326710947,,,,,
1966,50233,234829.148041,11.8902764775,,,,,
1967,50234,232122.891787,8.88378692605,,,,,
1968,50235,50167.0457588,186.609345741,,,,,
1969,50236,208619.58546,31.8286597777,,,,,
1970,50237,200294.557445,13.9514344815,,,,,
1971,50238,146066.565535,10.5307280466,,,,,
1972,50239,159452.604254,13.9894291404,,,,,
1973,50242,218329.867166,19.0597136988,,,,,
1974,50243,296254.461845,10.423622246,,,,,
1975,50244,317578.57361,21.6756726885,1.0,57.130248,0.0175038624023,99172.8,12.5051446556
1999,50246,113551.073605,16.3729592995,,,,,
2000,50247,177166.156994,13.236600112,2.0,215.968634,0.00926060401901,44048.16,11.4125047932
2016,50248,502845.96098,14.0388781258,5.0,211.580755,0.0236316388983,252988.72,11.9384533492
2072,50249,199278.402639,13.0965346533,1.0,202.332923,0.00494234939709,50396.4,12.7786398905
2084,50251,195578.553418,10.2805220226,1.0,104.817095,0.00954042849594,10455.6,14.9901075269
2089,50252,48488.503952,13.6567112273,,,,,
2090,50254,105408.013707,8.87647472551,,,,,
2091,50256,83732.7378738,7.00340852838,,,,,
2092,50257,46375.7180902,5.77760807703,,,,,
2093,50258,150207.174771,17.6095320254,,,,,
2094,50261,184993.810594,16.3542535837,1.0,173.242731,0.00577224795654,13228.8,9.60278745645
2102,50262,78059.0992353,8.19591195888,,,,,
2103,50263,741097.274243,16.017526792,5.0,90.002855,0.0555537932658,347035.92,13.3436965058
2161,50264,9056.46679755,1.65850956924,,,,,
2162,50265,1198058.6992,15.8343448575,15.0,46.466559,0.322812799631,1727138.23,14.9625112102
2323,50266,1573144.53278,15.5537575504,16.0,43.060835,0.371567341878,1807496.77,15.5479166142
2496,50268,183707.259618,16.1543077391,,,,,
2497,50271,174954.213737,10.8309277694,,,,,
2498,50272,143324.741719,16.437886839,,,,,
2499,50273,742834.441344,11.6518944616,5.0,519.17142,0.00963073044352,852858.92,11.4235466858
2554,50274,255408.825077,14.1578924905,,,,,
2555,50275,126334.270656,8.55654522693,,,,,
2556,50276,172022.982575,11.9801502766,1.0,209.84696,0.00476537758755,28165.83,11.7320962199
2567,50277,286280.578349,14.5355483628,,,,,
2568,50278,101183.993673,10.8819646989,,,,,
2569,50309,518050.706589,13.8911317572,6.0,7.776473,0.771558005795,416185.27,12.9445135963
2614,50311,2168741.92502,15.4364714057,7.0,6.511832,1.07496630748,2863517.54,14.6707417965
2693,50312,1166153.88824,14.2693969087,5.0,15.05106,0.332202515969,1468521.0,18.1983280827
2749,50313,2087366.31923,14.2356447637,9.0,47.635293,0.188935544072,678506.74,13.0055907192
2837,50314,1086942.24851,19.6756051271,6.0,6.629721,0.905015459927,743015.08,21.007511093
2894,50315,2736063.3012,14.7933644793,11.0,26.560331,0.414151465206,1735068.9,13.8406370173
3004,50316,1801729.60313,15.1943362575,7.0,9.302481,0.752487427816,1328301.15,15.527143312
3062,50317,3414715.23691,14.402093406,20.0,60.041842,0.333101039772,4294976.15,14.3949730732
3287,50321,665061.872133,15.7824652603,5.0,30.969186,0.16145080468,328020.96,13.0668409863
3342,50322,2295664.91808,14.8074731805,19.0,27.938267,0.6800708147,1690107.93,15.8792421294
3520,50323,46659.9022056,53.0989280848,4.0,19.984131,0.200158816013,117974.9,15.0865358548
3554,50325,1434689.4454,15.3113997316,9.0,20.224117,0.445013248292,807952.43,15.6322843866
3643,50401,3275142.14912,13.1243315113,13.0,387.509792,0.0335475393613,3286041.87,12.9145336408
3776,50421,300350.636472,12.2949050339,3.0,232.911303,0.0128804397269,326551.56,11.1140004084
3812,50423,238858.495488,12.9907021611,2.0,376.364842,0.00531399263909,134029.68,9.82226228427
3833,50424,298835.931011,13.9028969484,2.0,315.854649,0.00633202647589,81001.62,11.9244534735
3852,50426,56807.8760727,32.0728395167,,,,,
3853,50428,1046026.53042,14.0584398101,4.0,316.380154,0.0126430180573,1925031.6,13.6142504704
3901,50431,81135.4624422,27.6133914164,,,,,
3902,50432,212614.21434,12.8603662085,,,,,
3903,50433,-189999.818289,15.7610020144,,,,,
3904,50434,20399.1719458,5.65961390129,,,,,
