,Store Number,Zip Code,Year,Bottles Sold,Sale (Dollars),Volume Sold (Liters)
522,3700,51521,2015,2097,31242.73,2157.16
523,3700,51521,2016,398,4780.2,411.83
524,3704,50536,2015,1460,22466.76,1606.7
525,3704,50536,2016,563,8299.14,621.25
526,3705,51246,2015,2097,29694.56,2189.0
527,3705,51246,2016,569,6066.01,482.32
528,3707,52402,2015,1599,27494.16,1555.95
529,3707,52402,2016,264,4543.14,270.0
530,3710,52738,2015,1740,5657.64,381.0
531,3710,52738,2016,505,1858.8,105.37
532,3712,50171,2015,835,14675.45,971.0
533,3712,50171,2016,124,1981.88,140.0
534,3713,50401,2015,3204,47527.44,3909.0
535,3713,50401,2016,558,7752.24,703.5
536,3715,52807,2015,2276,16548.95,903.81
537,3715,52807,2016,540,4853.8,225.35
538,3717,50674,2015,632,9022.86,685.53
539,3717,50674,2016,169,2510.46,187.0
540,3719,50158,2015,1710,25413.66,2020.5
541,3719,50158,2016,288,4581.78,360.0
542,3721,52101,2015,3492,49072.02,3745.5
543,3721,52101,2016,750,10792.92,817.5
544,3722,51106,2015,2352,33500.22,2653.5
545,3722,51106,2016,606,9604.62,640.5
546,3723,51040,2015,2264,27713.0,2015.71
547,3723,51040,2016,635,6404.17,468.7
548,3726,52501,2015,1524,22019.1,1824.0
549,3726,52501,2016,414,6666.36,496.5
550,3728,51503,2015,2374,30198.98,1956.59
551,3728,51503,2016,785,10666.58,664.43
552,3731,52807,2015,3288,46132.38,3407.9
553,3731,52807,2016,756,10577.22,831.0
554,3732,52748,2015,2016,29277.92,2317.38
555,3732,52748,2016,377,5548.3,417.75
556,3735,52577,2015,2336,27909.73,2144.2
557,3735,52577,2016,457,4686.4,435.55
558,3738,52001,2015,1405,12549.05,1337.65
559,3738,52001,2016,430,2629.64,260.28
560,3740,50702,2015,1682,24676.94,1610.27
561,3740,50702,2016,328,5929.62,342.56
562,3742,51031,2015,1098,16030.44,1197.0
563,3742,51031,2016,258,3741.12,319.5
564,3744,52040,2015,1625,21456.81,1751.62
