,Store Number,Zip Code,Year,Bottles Sold,Sale (Dollars),Volume Sold (Liters)
393,3465,50216,2016,144,2019.61,175.0
394,3477,51501,2015,7386,129421.86,9688.5
395,3477,51501,2016,2214,53080.56,2671.5
396,3484,51035,2015,313,4020.39,344.25
397,3484,51035,2016,54,754.51,67.25
398,3488,52031,2015,1411,18743.79,1481.1
399,3488,52031,2016,280,3589.47,333.0
400,3494,50702,2015,9594,140733.54,11827.5
401,3494,50702,2016,2448,37618.68,2514.0
402,3495,52310,2015,2779,33346.6,2658.11
403,3495,52310,2016,674,8293.3,622.14
404,3514,50501,2015,2210,35037.48,2266.02
405,3514,50501,2016,470,7361.75,463.34
406,3521,51501,2015,1492,40893.92,1718.25
407,3521,51501,2016,234,5442.22,237.75
408,3524,50010,2015,10356,180805.62,12190.5
409,3524,50010,2016,1242,21868.32,1750.5
410,3525,52353,2015,3678,53040.25,3483.09
411,3525,52353,2016,1197,10531.06,786.18
412,3528,50401,2015,896,16048.96,901.6
413,3528,50401,2016,168,3400.92,168.0
414,3529,51012,2015,452,5886.54,399.91
415,3540,52807,2015,1265,20284.2,1192.2
416,3540,52807,2016,198,3303.96,192.3
417,3542,50472,2015,814,11801.35,987.25
418,3542,50472,2016,276,3924.64,328.25
419,3549,52627,2015,2083,33329.87,2252.62
420,3549,52627,2016,375,4057.46,297.6
421,3562,52655,2015,4488,65389.26,5116.5
422,3562,52655,2016,966,12647.04,1060.5
423,3563,52761,2015,2984,41926.36,3200.0
424,3563,52761,2016,612,8988.66,720.0
425,3565,52246,2015,1456,18306.77,1265.89
426,3565,52246,2016,280,3431.57,222.83
427,3573,52501,2015,4715,68700.69,4313.9
428,3573,52501,2016,1158,16596.2,1024.59
429,3576,51346,2015,771,10351.74,1049.9
430,3576,51346,2016,123,1147.87,133.5
431,3582,50144,2015,133,2169.62,174.0
432,3582,50144,2016,45,780.45,54.75
433,3584,50662,2015,2084,27413.67,2271.53
434,3584,50662,2016,784,12588.78,980.45
435,3587,52632,2015,294,3002.46,310.5
436,3587,52632,2016,48,486.96,60.0
437,3591,50601,2015,198,2602.0,225.5
438,3592,50501,2015,3564,51327.84,4039.5
439,3592,50501,2016,822,11472.84,958.5
440,3606,50638,2015,620,7716.58,596.0
441,3606,50638,2016,195,2429.22,178.25
442,3611,51546,2015,528,6407.76,607.5
443,3611,51546,2016,120,1489.8,129.0
444,3612,52060,2015,4512,53379.84,4128.83
445,3612,52060,2016,1200,14883.53,1074.46
446,3618,52404,2015,4560,64153.98,5262.0
447,3618,52404,2016,774,10481.88,907.5
448,3621,51201,2015,2436,31043.53,2562.93
449,3621,51201,2016,516,6139.25,478.73
450,3622,51360,2015,2706,41171.16,3274.5
451,3622,51360,2016,462,7531.08,592.5
452,3624,50208,2015,1158,17259.12,1306.5
453,3624,50208,2016,222,3028.44,232.5
454,3625,50021,2015,3348,50380.86,3951.0
455,3625,50021,2016,786,11230.26,859.5
456,3626,51301,2015,2262,31938.6,2842.5
457,3626,51301,2016,420,6007.02,507.0
458,3628,52402,2015,2890,41413.14,3211.5
459,3628,52402,2016,534,7352.28,601.5
460,3629,51503,2015,3282,45812.04,3709.5
461,3629,51503,2016,708,10350.78,726.0
462,3631,50025,2015,731,8754.68,797.25
463,3632,52003,2015,2898,40977.9,3184.5
464,3632,52003,2016,306,3848.94,343.5
465,3635,50212,2015,517,6219.91,507.75
466,3635,50212,2016,78,1278.79,92.5
467,3644,50009,2015,3984,59082.3,4272.0
468,3644,50009,2016,858,11125.8,922.5
469,3645,50311,2015,1950,30602.76,2191.5
470,3645,50311,2016,504,7353.36,522.0
471,3647,52732,2015,3000,41206.62,3402.0
472,3647,52732,2016,564,7793.4,711.0
473,3648,50629,2015,354,4294.71,380.25
474,3648,50629,2016,73,778.83,73.75
475,3650,51025,2015,1542,23756.4,1597.0
476,3650,51025,2016,382,5954.38,403.4
477,3651,50125,2015,1146,16242.84,1333.5
478,3651,50125,2016,234,3612.18,301.5
479,3652,51445,2015,254,3901.24,251.5
480,3652,51445,2016,106,1901.44,104.5
481,3654,50421,2015,731,9479.3,819.75
482,3654,50421,2016,188,2394.38,209.25
483,3655,51104,2015,849,9142.26,577.45
484,3655,51104,2016,48,382.68,27.0
485,3656,50021,2015,1254,20611.26,1186.5
486,3656,50021,2016,210,3817.62,193.5
487,3660,50138,2015,948,13818.6,1059.0
488,3660,50138,2016,138,1842.96,169.5
489,3663,50702,2015,2454,33199.62,2722.5
490,3663,50702,2016,630,9557.16,712.5
491,3664,50459,2015,874,11226.05,954.41
492,3664,50459,2016,212,3034.0,243.76
493,3666,52404,2015,1878,30745.8,1977.0
494,3666,52404,2016,426,7310.7,421.5
495,3670,52241,2015,3253,45033.36,3624.75
496,3670,52241,2016,834,11704.8,899.1
497,3676,50636,2015,321,3939.16,354.62
498,3676,50636,2016,50,658.53,54.38
499,3677,51338,2015,48,573.51,56.25
500,3677,51338,2016,2,67.5,2.0
501,3678,50320,2015,1381,17220.56,1019.7
502,3678,50320,2016,376,3751.66,264.27
503,3679,52159,2015,693,12115.68,803.09
504,3679,52159,2016,177,2830.94,209.0
505,3682,50483,2015,1495,23243.51,1692.87
506,3688,50630,2015,315,4154.49,400.5
507,3688,50630,2016,108,1338.84,123.75
508,3690,50702,2015,951,14908.31,835.75
509,3690,50702,2016,188,3229.72,172.5
510,3691,50322,2015,1690,28984.64,1676.1
511,3691,50322,2016,162,2681.1,175.5
