,Zip Code,Stores per Zip,Store Number,Year,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Area,Total Pop,Median HH Inc,Per Capita Inc,White,Afr Amer,Native Amer,Asian Amer,Pac Islander,Other,Bi- Multi-Racial,Hispanic or Latino,Med Age,<5 years,5-17 yrs,18-20 yrs,21-24 yrs,25-34 yrs,35-44 yrs,45-54 yrs,55-59 yrs,60-64 yrs,65-74 yrs,78-84 yrs,85+ yrs,% P16+ in labor force,Total # Homes Owned,Med. Home Value,Tot Housing units,Owner occupied housing units,Renter occupied housing units,households,Family households,Married-couple family households,Single mother households,Nonfamily households,Single Occupancy,Avg HH Size,Avg Family Size,Pop Below Poverty Level,% P25+ HS Grad,% P25-54 BA+,21-54 years,21+ years,P21-54/Stores/Zip,P21+/Stores/Zip
76,50014,7,4251,2015,930,13496.54,833.06,50014,29541.0,37289.0,18236.0,25954.0,744.0,45.0,2136.0,11.0,271.0,380.0,633.0,21.9,902.0,2506.0,8501.0,7570.0,3213.0,2214.0,2095.0,719.0,510.0,686.0,435.0,190.0,67.4,3125.0,159100.0,9049.0,3663.0,5073.0,8736.0,3905.0,3340.0,364.0,4831.0,2324.0,2.39,2.92,21131.0,96.8,63.8,15092.0,17632.0,2156.0,2518.85714286
78,50014,7,4428,2015,632,7771.78,527.2,50014,29541.0,37289.0,18236.0,25954.0,744.0,45.0,2136.0,11.0,271.0,380.0,633.0,21.9,902.0,2506.0,8501.0,7570.0,3213.0,2214.0,2095.0,719.0,510.0,686.0,435.0,190.0,67.4,3125.0,159100.0,9049.0,3663.0,5073.0,8736.0,3905.0,3340.0,364.0,4831.0,2324.0,2.39,2.92,21131.0,96.8,63.8,15092.0,17632.0,2156.0,2518.85714286
80,50020,4,4267,2015,542,7513.93,570.5,50020,1567.0,31827.0,15400.0,1553.0,0.0,3.0,3.0,0.0,0.0,8.0,5.0,42.7,75.0,299.0,48.0,50.0,127.0,249.0,192.0,99.0,90.0,160.0,114.0,64.0,64.4,371.0,46900.0,700.0,506.0,142.0,648.0,441.0,375.0,49.0,207.0,188.0,2.35,2.88,1477.0,86.6,9.9,618.0,1145.0,154.5,286.25
82,50020,4,4880,2015,162,1202.34,116.1,50020,1567.0,31827.0,15400.0,1553.0,0.0,3.0,3.0,0.0,0.0,8.0,5.0,42.7,75.0,299.0,48.0,50.0,127.0,249.0,192.0,99.0,90.0,160.0,114.0,64.0,64.4,371.0,46900.0,700.0,506.0,142.0,648.0,441.0,375.0,49.0,207.0,188.0,2.35,2.88,1477.0,86.6,9.9,618.0,1145.0,154.5,286.25
86,50021,24,3625,2015,3358,50447.76,3958.5,50021,31148.0,56977.0,25657.0,30200.0,259.0,45.0,275.0,7.0,120.0,242.0,321.0,32.8,2529.0,5948.0,1495.0,1802.0,4981.0,5220.0,4262.0,1346.0,1013.0,1420.0,791.0,341.0,80.2,7513.0,133500.0,12364.0,8757.0,3021.0,11778.0,8480.0,7382.0,822.0,3298.0,2424.0,2.59,3.05,30495.0,95.0,38.5,16265.0,21176.0,677.708333333,882.333333333
88,50021,24,3656,2015,1254,20611.26,1186.5,50021,31148.0,56977.0,25657.0,30200.0,259.0,45.0,275.0,7.0,120.0,242.0,321.0,32.8,2529.0,5948.0,1495.0,1802.0,4981.0,5220.0,4262.0,1346.0,1013.0,1420.0,791.0,341.0,80.2,7513.0,133500.0,12364.0,8757.0,3021.0,11778.0,8480.0,7382.0,822.0,3298.0,2424.0,2.59,3.05,30495.0,95.0,38.5,16265.0,21176.0,677.708333333,882.333333333
90,50021,24,4083,2015,2066,30771.23,2335.37,50021,31148.0,56977.0,25657.0,30200.0,259.0,45.0,275.0,7.0,120.0,242.0,321.0,32.8,2529.0,5948.0,1495.0,1802.0,4981.0,5220.0,4262.0,1346.0,1013.0,1420.0,791.0,341.0,80.2,7513.0,133500.0,12364.0,8757.0,3021.0,11778.0,8480.0,7382.0,822.0,3298.0,2424.0,2.59,3.05,30495.0,95.0,38.5,16265.0,21176.0,677.708333333,882.333333333
92,50021,24,4397,2015,635,3853.84,269.9,50021,31148.0,56977.0,25657.0,30200.0,259.0,45.0,275.0,7.0,120.0,242.0,321.0,32.8,2529.0,5948.0,1495.0,1802.0,4981.0,5220.0,4262.0,1346.0,1013.0,1420.0,791.0,341.0,80.2,7513.0,133500.0,12364.0,8757.0,3021.0,11778.0,8480.0,7382.0,822.0,3298.0,2424.0,2.59,3.05,30495.0,95.0,38.5,16265.0,21176.0,677.708333333,882.333333333
94,50021,24,4404,2015,467,5360.07,395.55,50021,31148.0,56977.0,25657.0,30200.0,259.0,45.0,275.0,7.0,120.0,242.0,321.0,32.8,2529.0,5948.0,1495.0,1802.0,4981.0,5220.0,4262.0,1346.0,1013.0,1420.0,791.0,341.0,80.2,7513.0,133500.0,12364.0,8757.0,3021.0,11778.0,8480.0,7382.0,822.0,3298.0,2424.0,2.59,3.05,30495.0,95.0,38.5,16265.0,21176.0,677.708333333,882.333333333
96,50021,24,4405,2015,473,5569.77,388.27,50021,31148.0,56977.0,25657.0,30200.0,259.0,45.0,275.0,7.0,120.0,242.0,321.0,32.8,2529.0,5948.0,1495.0,1802.0,4981.0,5220.0,4262.0,1346.0,1013.0,1420.0,791.0,341.0,80.2,7513.0,133500.0,12364.0,8757.0,3021.0,11778.0,8480.0,7382.0,822.0,3298.0,2424.0,2.59,3.05,30495.0,95.0,38.5,16265.0,21176.0,677.708333333,882.333333333
