member_number,date_joined,date_expired,status,member_level,2016 Full Year Member
3734,2006,2012,Expired,Primary,No
3741,2006,2017,Active,Primary,Yes
3745,2006,2016,Expired,Primary,Yes
3747,2006,2015,Expired,Primary,No
3765,2006,2010,Expired,Primary,No
3766,2006,2012,Expired,Primary,No
3772,2006,2014,Expired,Primary,No
3777,2006,2011,Expired,Primary,No
3778,2006,2018,Active,Primary,Yes
3779,2006,2012,Expired,Primary,No
3780,2006,2013,Expired,Primary,No
3786,2006,2010,Expired,Primary,No
3791,2006,2017,Active,Primary,Yes
3797,2006,2011,Expired,Primary,No
3799,2006,2011,Expired,Primary,No
3833,2006,2013,Expired,Primary,No
3853,2006,2019,Active,Primary,Yes
3855,2006,2017,Active,Primary,Yes
3861,2006,2010,Expired,Primary,No
3868,2006,2016,Expired,Primary,Yes
3870,2006,2011,Expired,Primary,No
3900,2006,2013,Expired,Primary,No
3903,2006,2013,Expired,Primary,No
3908,2006,2017,Active,Primary,Yes
3917,2006,2015,Expired,Primary,No
3938,2006,2017,Active,Primary,Yes
3960,2006,2010,Expired,Primary,No
3962,2006,2017,Active,Primary,Yes
3970,2006,2010,Expired,Primary,No
3986,2006,2016,Expired,Primary,Yes
3993,2006,2011,Expired,Primary,No
4014,2006,2016,Expired,Primary,Yes
4018,2006,2017,Active,Primary,Yes
4025,2006,2017,Active,Primary,Yes
4036,2006,2011,Expired,Primary,No
4042,2006,2017,Active,Primary,Yes
4043,2006,2015,Expired,Primary,No
4049,2006,2013,Expired,Primary,No
4062,2006,2013,Expired,Primary,No
4068,2006,2017,Active,Primary,Yes
4076,2006,2010,Expired,Primary,No
4077,2006,2013,Expired,Primary,No
4091,2006,2020,Active,Primary,Yes
4101,2006,2010,Expired,Primary,No
4105,2006,2017,Active,Primary,Yes
4106,2006,2014,Expired,Primary,No
4111,2006,2011,Expired,Primary,No
4114,2006,2017,Active,Primary,Yes
4131,2006,2010,Expired,Primary,No
4134,2006,2015,Expired,Primary,No
4138,2006,2011,Expired,Primary,No
4139,2006,2014,Expired,Primary,No
4142,2006,2018,Active,Primary,Yes
4146,2006,2017,Active,Primary,Yes
4147,2006,2017,Active,Primary,Yes
4151,2006,2011,Expired,Primary,No
4163,2006,2013,Expired,Primary,No
4175,2006,2011,Expired,Primary,No
4193,2006,2013,Expired,Primary,No
4200,2006,2017,Active,Primary,Yes
4203,2006,2012,Expired,Primary,No
4214,2006,2018,Active,Primary,Yes
4220,2006,2011,Expired,Primary,No
4225,2006,2010,Expired,Primary,No
4228,2006,2016,Expired,Primary,Yes
4254,2006,2010,Expired,Primary,No
4261,2006,2010,Expired,Primary,No
4272,2006,2011,Expired,Primary,No
4282,2006,2017,Active,Primary,Yes
4287,2006,2011,Expired,Primary,No
4289,2006,2012,Expired,Primary,No
4291,2006,2017,Active,Primary,Yes
4298,2006,2010,Expired,Primary,No
4301,2006,2014,Expired,Primary,No
4307,2006,2017,Active,Primary,Yes
4311,2006,2011,Expired,Primary,No
4313,2006,2016,Expired,Primary,Yes
4325,2006,2015,Expired,Primary,No
4329,2006,2017,Active,Primary,Yes
4357,2006,2013,Expired,Primary,No
4365,2006,2010,Expired,Primary,No
4383,2006,2010,Expired,Primary,No
4388,2006,2016,Expired,Primary,Yes
4395,2006,2010,Expired,Primary,No
4397,2006,2010,Expired,Primary,No
4441,2006,2010,Expired,Primary,No
4443,2006,2020,Active,Primary,Yes
4444,2006,2019,Active,Primary,Yes
4458,2006,2014,Expired,Primary,No
4463,2006,2016,Expired,Primary,Yes
4464,2006,2018,Active,Primary,Yes
4481,2006,2010,Expired,Primary,No
4485,2006,2014,Expired,Primary,No
4488,2006,2010,Expired,Primary,No
4490,2006,2010,Expired,Primary,No
